Company	Stock_Code	Industry	Index
COMPUGATES HOLDINGS BHD	5037	UNKNOWN	Others
COMPUTER FORMS (M) BHD	8044	UNKNOWN	Others
CONCRETE ENGINEERING PRODUCTS	8435	UNKNOWN	Others
CONNECTCOUNTY HOLDINGS BHD	102	UNKNOWN	Others
COUNTRY HEIGHTS HOLDINGS BHD	5738	PROPERTY	Others
COUNTRY VIEW BHD	5049	UNKNOWN	Others
CRESCENDO CORPORATION BHD	6718	PROPERTY	Others
CREST BUILDER HOLDINGS BHD	8591	UNKNOWN	Others
CRG INCORPORATED BERHAD	3016	UNKNOWN	Others
CSC STEEL HOLDINGS BERHAD	5094	INDUSTRIAL PRODUCTS & SERVICES	Others
CUSCAPI BHD	51	UNKNOWN	Others
CWG HOLDINGS BERHAD	9423	UNKNOWN	Others
CYCLE & CARRIAGE BINTANG BHD	2925	UNKNOWN	Others
CYL CORPORATION BHD	7157	UNKNOWN	Others
CYMAO HOLDINGS BHD	5082	UNKNOWN	Others
CYPARK RESOURCES BERHAD	5184	INDUSTRIAL PRODUCTS & SERVICES	Others
D&O GREEN TECHNOLOGIES BERHAD	7204	TECHNOLOGY	Others
D.B.E. GURNEY RESOURCES BHD	7179	UNKNOWN	Others
DAGANG NEXCHANGE BERHAD	4456	TECHNOLOGY	Others
DAIBOCHI BERHAD	8125	INDUSTRIAL PRODUCTS & SERVICES	Others
DAIMAN DEVELOPMENT BHD	5355	PROPERTY	Others
DAMANSARA REALTY BHD	3484	UNKNOWN	Others
DANCOMECH HOLDINGS BERHAD	5276	UNKNOWN	Others
DATAPREP HOLDINGS BHD	8338	UNKNOWN	Others
DATASONIC GROUP BERHAD	5216	TECHNOLOGY	Others
DAYA MATERIALS BHD	91	UNKNOWN	Others
DAYANG ENTERPRISE HOLDINGS BHD	5141	ENERGY	Others
DEGEM BHD	7119	UNKNOWN	Others
DELEUM BHD	5132	ENERGY	Others
DESTINI BERHAD	7212	INDUSTRIAL PRODUCTS & SERVICES	Others
DGB ASIA BERHAD	152	UNKNOWN	Others
DIGISTAR CORPORATION BHD	29	UNKNOWN	Others
DIVERSIFIED GATEWAY SOLUTIONS	131	UNKNOWN	Others
DKLS INDUSTRIES BHD	7528	UNKNOWN	Others
DKSH HOLDINGS(M)BHD	5908	CONSUMER PRODUCTS & SERVICES	Others
DNONCE TECHNOLOGY BHD	7114	UNKNOWN	Others
DOLOMITE CORPORATION BHD	5835	UNKNOWN	Others
